Date,Open,High,Low,Close,Adj Close,Volume
2018-12-17,8.480000,8.720000,8.410000,8.500000,6.834423,44469900
2018-12-18,8.550000,8.680000,8.410000,8.470000,6.810301,38263000
2018-12-19,8.460000,8.650000,8.270000,8.320000,6.689693,75272900
2018-12-20,8.330000,8.420000,8.180000,8.260000,6.641450,58926200
2018-12-21,8.220000,8.400000,8.040000,8.050000,6.472600,57542300
2018-12-24,8.010000,8.010000,7.610000,7.630000,6.134898,38709500
2018-12-26,7.730000,7.860000,7.410000,7.850000,6.311790,58810000
2018-12-27,7.820000,7.850000,7.530000,7.850000,6.311790,49813000
2018-12-28,7.830000,8.040000,7.760000,7.810000,6.279628,47331700
2018-12-31,7.850000,7.860000,7.500000,7.650000,6.150980,57816000
2019-01-02,7.530000,8.020000,7.480000,7.900000,6.351992,47494400
2019-01-03,7.970000,7.990000,7.780000,7.780000,6.255506,39172400
2019-01-04,7.910000,8.120000,7.850000,8.080000,6.496722,43039800
2019-01-07,8.110000,8.370000,8.030000,8.290000,6.665571,40729400
2019-01-08,8.420000,8.540000,8.350000,8.370000,6.729896,45644000
2019-01-09,8.450000,8.770000,8.360000,8.720000,7.011313,48404900
2019-01-10,8.710000,8.770000,8.450000,8.670000,6.971111,39490400
2019-01-11,8.770000,8.930000,8.700000,8.820000,7.091717,41559900
2019-01-14,8.800000,9.060000,8.760000,8.990000,7.228406,44833800
2019-01-15,9.020000,9.030000,8.750000,8.840000,7.107799,65311700
2019-01-16,8.680000,8.770000,8.260000,8.290000,6.665571,73869900
2019-01-17,8.270000,8.440000,8.210000,8.360000,6.721854,56722600
2019-01-18,8.390000,8.600000,8.330000,8.580000,6.898746,51127900
2019-01-22,8.540000,8.610000,8.460000,8.500000,6.834423,47182600
2019-01-23,8.540000,8.540000,8.280000,8.340000,6.705773,45196900
2019-01-24,8.320000,8.680000,8.220000,8.600000,6.914827,79516400
2019-01-25,8.740000,8.960000,8.730000,8.860000,7.123880,53098800
2019-01-28,8.800000,8.800000,8.580000,8.660000,6.963069,42116300
2019-01-29,8.710000,8.790000,8.620000,8.760000,7.043475,30485000
2019-01-30,8.660000,8.720000,8.520000,8.710000,7.125280,29906100
2019-01-31,8.620000,8.820000,8.600000,8.800000,7.198905,39389100
2019-02-01,8.770000,8.810000,8.620000,8.720000,7.133461,34124000
2019-02-04,8.700000,8.700000,8.590000,8.700000,7.117100,28855600
2019-02-05,8.680000,8.760000,8.650000,8.750000,7.158003,26166800
2019-02-06,8.790000,8.900000,8.680000,8.720000,7.133461,32644300
2019-02-07,8.620000,8.620000,8.290000,8.310000,6.798058,55161800
2019-02-08,8.290000,8.410000,8.160000,8.390000,6.863503,38650100
2019-02-11,8.410000,8.440000,8.290000,8.330000,6.814418,27403500
2019-02-12,8.380000,8.470000,8.380000,8.460000,6.920766,26235100
2019-02-13,8.450000,8.660000,8.390000,8.410000,6.879863,27182900
2019-02-14,8.380000,8.470000,8.320000,8.420000,6.888044,23569900
2019-02-15,8.490000,8.560000,8.410000,8.540000,6.986210,58080300
2019-02-19,8.530000,8.850000,8.530000,8.830000,7.223449,37929200
2019-02-20,8.830000,8.980000,8.820000,8.940000,7.313434,55316900
2019-02-21,8.940000,8.960000,8.700000,8.710000,7.125280,44730400
2019-02-22,8.730000,8.750000,8.560000,8.710000,7.125280,40947500
2019-02-25,8.770000,8.850000,8.750000,8.760000,7.166183,56615400
2019-02-26,8.750000,8.940000,8.720000,8.880000,7.264351,38348800
2019-02-27,8.830000,8.910000,8.780000,8.780000,7.182544,34093300
2019-02-28,8.770000,8.790000,8.600000,8.770000,7.174364,43960500
2019-03-01,8.850000,8.890000,8.710000,8.790000,7.190724,37699500
2019-03-04,8.830000,8.970000,8.760000,8.810000,7.207087,46196900
2019-03-05,8.800000,8.810000,8.700000,8.770000,7.174364,40852600
2019-03-06,8.750000,8.780000,8.560000,8.580000,7.018932,50378600
2019-03-07,8.560000,8.570000,8.350000,8.480000,6.937127,54286000
2019-03-08,8.400000,8.470000,8.340000,8.420000,6.888044,43766800
2019-03-11,8.460000,8.630000,8.450000,8.610000,7.043474,36875300
2019-03-12,8.650000,8.700000,8.550000,8.570000,7.010753,37805000
2019-03-13,8.590000,8.650000,8.500000,8.530000,6.978029,49018700
2019-03-14,8.520000,8.550000,8.400000,8.410000,6.879863,36307900
2019-03-15,8.420000,8.470000,8.370000,8.430000,6.896225,66555500
2019-03-18,8.450000,8.570000,8.420000,8.570000,7.010753,37198300
